iter	Passed	Remaining
455	871	1040
456	874	1039
457	876	1037
458	879	1036
459	881	1035
460	883	1032
461	884	1029
462	887	1029
463	889	1027
464	891	1025
465	892	1023
466	894	1020
467	895	1018
468	897	1016
469	898	1013
470	903	1015
471	906	1014
472	908	1011
473	909	1009
474	911	1007
475	912	1004
476	914	1002
477	919	1004
478	921	1001
479	922	999
480	924	997
481	925	994
482	926	992
483	928	989
484	929	987
485	937	991
486	939	990
487	941	987
488	942	985
489	958	998
490	960	995
491	967	999
492	969	997
493	975	998
494	977	996
495	992	1008
496	994	1006
497	997	1005
498	999	1003
499	1002	1002
500	1004	1000
501	1008	1000
502	1012	1000
503	1013	997
504	1015	995
505	1036	1012
506	1041	1013
507	1044	1011
508	1046	1009
509	1048	1007
510	1050	1005
511	1052	1002
512	1054	1000
513	1056	998
514	1059	997
515	1060	995
516	1062	992
517	1064	990
518	1066	988
519	1068	985
520	1096	1007
521	1098	1005
522	1100	1003
523	1101	1000
524	1110	1004
525	1112	1002
526	1113	999
527	1115	997
528	1117	995
529	1123	996
530	1125	994
531	1127	991
532	1129	989
533	1131	987
534	1133	985
535	1142	989
536	1144	986
537	1146	984
538	1148	982
539	1154	983
540	1155	980
541	1157	978
542	1160	976
543	1162	974
544	1163	971
545	1168	971
546	1170	968
547	1172	966
548	1173	964
549	1174	961
550	1176	958
551	1178	956
552	1185	958
553	1187	955
554	1189	953
555	1190	950
556	1193	949
557	1195	946
558	1196	944
559	1200	943
560	1202	941
561	1204	938
562	1252	972
563	1254	970
564	1256	967
565	1258	965
566	1260	962
567	1264	961
568	1266	959
569	1268	956
570	1269	953
571	1270	950
572	1272	948
573	1275	946
574	1276	943
575	1279	941
576	1280	938
577	1282	936
578	1284	934
579	1286	931
580	1288	929
581	1290	926
582	1294	925
583	1295	923
584	1297	920
585	1299	917
586	1300	915
587	1302	912
588	1303	909
589	1308	909
590	1310	906
591	1312	904
592	1314	902
593	1315	899
594	1317	896
595	1318	893
596	1321	892
597	1323	889
598	1326	888
599	1329	886
600	1331	883
601	1332	881
602	1334	878
603	1339	878
604	1340	875
605	1342	872
606	1343	869
607	1345	867
608	1346	864
609	1348	861
610	1349	859
611	1351	857
612	1354	854
613	1356	852
614	1358	850
615	1359	847
616	1361	845
617	1362	842
618	1364	839
619	1367	838
620	1369	835
621	1371	833
622	1372	830
623	1373	827
624	1374	824
625	1376	822
626	1377	819
627	1378	816
628	1379	813
629	1382	811
630	1384	809
631	1385	807
632	1387	804
633	1388	801
634	1389	798
635	1390	796
636	1392	793
637	1393	790
638	1395	788
639	1399	786
640	1400	784
641	1402	781
642	1403	779
643	1404	776
644	1405	773
645	1407	771
646	1408	768
647	1409	765
648	1413	764
649	1415	762
650	1416	759
651	1418	756
652	1419	754
653	1420	751
654	1422	749
655	1423	746
656	1424	743
657	1428	742
658	1430	740
659	1431	737
660	1433	735
661	1435	732
662	1436	730
663	1438	727
664	1439	725
665	1442	723
666	1445	721
667	1446	718
668	1447	716
669	1449	713
670	1450	711
671	1452	708
672	1453	706
673	1455	703
674	1456	701
675	1458	698
676	1459	696
677	1466	696
678	1469	694
679	1473	693
680	1475	690
681	1476	688
682	1477	685
683	1479	683
684	1481	681
685	1483	678
686	1484	676
687	1487	674
688	1489	672
689	1491	669
690	1492	667
691	1494	665
692	1496	662
693	1497	660
694	1499	657
695	1500	655
696	1501	652
697	1504	650
698	1506	648
699	1507	646
700	1509	643
701	1510	641
702	1512	638
703	1513	636
704	1515	633
705	1516	631
706	1518	629
707	1519	626
708	1521	624
709	1522	621
710	1524	619
711	1525	617
712	1527	614
713	1528	612
714	1530	610
715	1532	607
716	1533	605
717	1535	603
718	1536	600
719	1538	598
720	1540	596
721	1541	593
722	1543	591
723	1544	588
724	1546	586
725	1547	584
726	1548	581
727	1550	579
728	1552	576
729	1553	574
730	1554	572
731	1556	569
732	1557	567
733	1559	565
734	1560	562
735	1562	560
736	1563	558
737	1565	555
738	1566	553
739	1568	550
740	1569	548
741	1570	546
742	1572	543
743	1573	541
744	1575	539
745	1576	536
746	1577	534
747	1579	532
748	1580	529
749	1582	527
750	1583	525
751	1584	522
752	1586	520
753	1588	518
754	1591	516
755	1593	514
756	1595	512
757	1597	509
758	1598	507
759	1600	505
760	1601	503
761	1603	500
762	1605	498
763	1606	496
764	1608	494
765	1609	491
766	1611	489
767	1613	487
768	1614	485
769	1616	482
770	1617	480
771	1624	479
772	1627	477
773	1634	477
774	1636	474
775	1637	472
776	1639	470
777	1640	468
778	1642	465
779	1644	463
780	1649	462
781	1658	462
782	1660	460
783	1662	458
784	1670	457
785	1673	455
786	1675	453
787	1676	451
788	1689	451
789	1691	449
790	1693	447
791	1696	445
792	1702	444
793	1705	442
794	1706	440
795	1708	437
796	1709	435
797	1723	436
798	1726	434
799	1728	432
800	1734	430
801	1735	428
802	1737	426
803	1738	423
804	1740	421
805	1741	419
806	1752	419
807	1760	418
808	1761	415
809	1770	415
810	1772	413
811	1774	410
812	1775	408
813	1780	406
814	1785	405
815	1789	403
816	1791	401
817	1799	400
818	1801	398
819	1802	395
820	1804	393
821	1805	390
822	1807	388
823	1813	387
824	1815	385
825	1817	382
826	1818	380
827	1819	378
828	1821	375
829	1822	373
830	1826	371
831	1827	369
832	1829	366
833	1831	364
834	1834	362
835	1836	360
836	1842	358
837	1845	356
838	1846	354
839	1850	352
840	1851	350
841	1852	347
842	1854	345
843	1855	343
844	1857	340
845	1862	339
846	1864	336
847	1866	334
848	1867	332
849	1872	330
850	1874	328
851	1876	325
852	1878	323
853	1879	321
854	1882	319
855	1883	316
856	1888	315
857	1891	313
858	1893	310
859	1894	308
860	1896	306
861	1897	303
862	1899	301
863	1903	299
864	1906	297
865	1907	295
866	1908	292
867	1911	290
868	1913	288
869	1915	286
870	1917	284
871	1919	281
872	1921	279
873	1923	277
874	1924	274
875	1925	272
876	1927	270
877	1928	268
878	1933	266
879	1934	263
880	1936	261
881	1937	259
882	1938	256
883	1940	254
884	1941	252
885	1943	250
886	1948	248
887	1949	245
888	1952	243
889	1953	241
890	1955	239
891	1957	236
892	1958	234
893	1963	232
894	1965	230
895	1967	228
896	1968	226
897	1972	224
898	1977	222
899	1979	219
900	1980	217
901	1981	215
902	1985	213
903	1986	210
904	1988	208
905	1989	206
906	1994	204
907	1997	202
908	2000	200
909	2002	198
910	2004	195
911	2008	193
912	2010	191
913	2012	189
914	2013	187
915	2016	184
916	2017	182
917	2019	180
918	2020	178
919	2025	176
920	2026	173
921	2028	171
922	2029	169
923	2031	167
924	2032	164
925	2033	162
926	2034	160
927	2037	158
928	2039	155
929	2040	153
930	2041	151
931	2043	149
932	2044	146
933	2045	144
934	2047	142
935	2048	140
936	2049	137
937	2052	135
938	2053	133
939	2054	131
940	2056	128
941	2057	126
942	2059	124
943	2060	122
944	2062	120
945	2063	117
946	2065	115
947	2067	113
948	2068	111
949	2070	108
950	2071	106
951	2072	104
952	2074	102
953	2075	100
954	2076	97
955	2077	95
956	2079	93
957	2080	91
958	2081	89
959	2083	86
960	2084	84
961	2085	82
962	2087	80
963	2088	77
964	2089	75
965	2090	73
966	2092	71
967	2093	69
968	2095	67
969	2096	64
970	2098	62
971	2099	60
972	2100	58
973	2102	56
974	2103	53
975	2105	51
976	2106	49
977	2107	47
978	2109	45
979	2110	43
980	2111	40
981	2113	38
982	2114	36
983	2115	34
984	2117	32
985	2118	30
986	2120	27
987	2121	25
988	2123	23
989	2124	21
990	2125	19
991	2127	17
992	2128	15
993	2129	12
994	2130	10
995	2131	8
996	2133	6
997	2134	4
998	2135	2
999	2137	0
